iter	Passed	Remaining
0	68	68477
1	76	38053
2	84	28074
3	94	23424
4	103	20664
5	114	18899
6	121	17230
7	128	15921
8	136	14991
9	143	14192
10	150	13541
11	157	12970
12	164	12520
13	171	12083
14	177	11676
15	184	11356
16	191	11066
17	197	10801
18	204	10547
19	210	10324
20	217	10121
21	223	9956
22	229	9759
23	236	9627
24	243	9480
25	248	9304
26	254	9167
27	260	9049
28	267	8968
29	274	8870
30	280	8781
31	287	8684
32	292	8575
33	298	8493
34	305	8416
35	311	8343
36	318	8280
37	324	8210
38	331	8158
39	338	8116
40	347	8131
41	355	8106
42	362	8063
43	370	8056
44	378	8025
45	385	7993
46	392	7965
47	401	7968
48	408	7929
49	414	7877
50	420	7828
51	426	7783
52	433	7746
53	439	7701
54	446	7672
55	452	7635
56	459	7608
57	466	7571
58	473	7548
59	478	7501
60	485	7474
61	491	7436
62	498	7407
63	504	7382
64	511	7362
65	518	7336
66	524	7309
67	531	7287
68	537	7255
69	544	7227
70	550	7199
71	556	7174
72	563	7154
73	569	7127
74	575	7101
75	583	7092
76	590	7083
77	599	7090
78	607	7082
79	613	7055
80	619	7030
81	626	7009
82	633	6997
83	639	6977
84	646	6960
85	652	6936
86	659	6918
87	665	6898
88	672	6880
89	678	6857
90	684	6840
91	691	6822
92	697	6803
93	704	6786
94	710	6772
95	717	6757
96	723	6736
97	729	6717
98	735	6698
99	742	6683
100	749	6671
101	755	6653
102	762	6641
103	769	6625
104	775	6613
105	782	6598
106	791	6601
107	797	6586
108	803	6571
109	810	6558
110	817	6545
111	823	6525
112	829	6510
113	835	6495
114	842	6480
115	848	6467
116	854	6451
117	861	6441
118	868	6426
119	874	6412
120	880	6397
121	887	6387
122	893	6371
123	899	6357
124	906	6343
125	912	6331
126	919	6320
127	926	6309
128	932	6295
129	938	6283
130	945	6269
131	951	6253
132	957	6240
133	963	6227
134	969	6213
135	975	6198
136	982	6188
137	989	6177
138	995	6164
139	1001	6154
140	1009	6147
141	1015	6135
142	1021	6121
143	1027	6108
144	1033	6096
145	1040	6084
146	1046	6073
147	1053	6062
148	1059	6052
